Entry	Organism	AA_len	num_combinations
Q99383	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534	23141099715532986150759713385055596382129759150322055190340220729442301001020453167451947551308909165573103613096639783380382095160717271886972394541049616194651340788006786499369123906624289178474565443822647434103260656108500907754837984149504
Q99382	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	181	1681974443769116975669318360403166514066771976822334905980145684099847692184022566305792
Q99380	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	36	73040694872113152
Q99373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	253	10585262219656979994276220372446483203381117037656840829249418901110686231117098762771686752769188780634888462945505538383806464
Q99369	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	266	4641239329478839379673245656937539662694262989736316304525928841960313322323369836715263765444310801446971036158313556042842112
Q99359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	647	490000912375487594158457458123387476413945301062651984853134091030208946742270358290923286518392098450346735354381873690846541236028265094715259246689435397194669146967217681580187858100500624085499607298882932744938150005744119011583482453327761085138356454146846553591857207469673180011190557824755372654592
Q99345	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	113	32804110050009844875770963386716035002282145835122688
Q99344	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	299	858092093785190960667051851957024616755740129269982505710615725951883723824460318570044430244592335964849153684805542599265653893073442378350592
Q99337	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1749	108030747612068133012618607726499242137021756004933229099228608534406290462548938591159632393331431690996200956141973745416071794401044559605722260755730313437485202838616463349061644210043988116093594749337331813193611386840009263860784830937561605489990638152639172703889904507745661163333457657969955772794461251755761589133765494903298238006930071943100554262926204730129425390537639143150537412704021689004207428069743509137905650084286423071243207684150273910462774907466762871788851590628774690045224739413469512190308293002498879415653914188940091918771070822967675212338527346672295774301748853980767560886484087650998332834130771680566688251358719552032479120531194063200838773784705477697161258600449716276665010365747544079801093872803458395499461599548017563397494040674642230155748593043621062027574968496727507211430594385116662490676486802073714688
Q99332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	602	4988534266460162107174626191282343689324720418126137652085803340035399998351779388799331482646119740086640612047258353297513977276342081216996458421790154191776886830848989692444085219740299523969921709438921703044922936456090555968196509181232782766389837287706618143306282756703130595452170334533502162374554890010624
Q99326	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	363	180212528884393075716344288799419860953321266520735671291102856132363640169942186403514103792817426923199244104000788286613307903732412666391724708473675093129853660778153269042085888
Q99325	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	256	21170524439313959988552440744892966406762234075313681658498837802221372462234197525543373505538377561269776925891011076767612928
Q99321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	188	70798322672618608977154312407836484051137120590734264868457886773535626843175086463123456
Q99316	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	277	674291703972271525359549559735450446966714909366842116409290599424300614722900459350529115664656072361712784898983944736542548492812288
Q99315	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1547	342722733505343847721080005329281874148721594141757516428565695583553094291765416653479531554474804134244520511964234004438161360346230744004400485124114061736330776100327511607706609953682211465542746256337415756196842828229100822513576178078767486515602706940016472095142422485872111163057660132411956240648721920126525670355202403337425732632068623130161702156634759334960524620832226025616958512751993916669691672539526426295063056980377949460810830338406237905081567232198678527038761022547484058619393667750543521069473080421038954610564704091637686249575906770233875084894369217437977780217484096767329560649881205175089167985209038089930321831559921015108304088598531449768273161223421226246993678487845904111442275485889135152630064796188616710684672
Q99314	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	248	4221182579821142444119000771877417412446687185125771342905799285254318713053516909635858396945250934956648994701312
Q99312	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	450	148654183380011120379750452122914670014660525750508924669251914563896177591993079917536211671219155827585995946920673788797943275129300453841342506783221217664116028239275930264410070928927339999557021432920772811825240092966912
Q99303	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	438	304595360545264014236215517557653060507339406813484249915878750359950869952004978534594049856769883318089821148456630821617225692653556513450758528092266777554285296681495655843453793547621873567746743486260445184
Q99299	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	758	254990990182215721013809135644392176586306012743742879867083918476554150288909945226054738447442103685306298226075836558526874879473558265340197857747176563346057385504306335194961320373815941075907781777705468633314821401050745263294487186135319350221146378582937728189642971837818898718920579420869051499986694659289534200855415571825289203811991361712815552664682183925098340806884851712
Q99297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	307	842587443933141295194286705279299114410799605736028170214729717189446516557099477162341635383511057115059835539441631820617470756014064001178841120768
Q99296	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	730	1030074366578397632351886828811464198773569044783956153456180542870247150079384702410143969170249892435345627096147265037623242156502057934287130698422547870481551763837477176101920521513795164031066730095480554999384654968895551973714747405260022540978790027230189020798208928525738559291149555600935363825365646152426307177951747762180966566117937496979406848
Q99288	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	334	58692142863649674763874719621491720278715892140862412791098399212552407771463221673018261641605742553239979826730290414404340190550015369130866704916423204929536
Q99287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	776	212358514411302396049688903694642685613151473114162451100428134433563399089351732831404514859417066119551708616059069644948929662319912924054106084323319130850210012656627836664200707329264702833106582420179901174061746874351214062414708403447647449106882703837021342794875415842875933107278925610445648702710731462395802578208934827421204977687006234967935257486645264384
Q99278	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	115	34049705173998597598876165142968274136030909892116086784
Q99271	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	985	266715110345589503292162104879518412213107176707900459473873266728910095808478658055996294480401655674829712475328707173871475642021706762796318752541670933493425640440307701366197717207609997982228370665073076988620519163773403313488887564544351432350719973633835239824886295171924496173806018366972210643531784563652750979497888642460842694538361539227442005592045324156328229907432939457208135490802521747161509279644833250014157819350172636092464547888091326481245321863881375481580151967318016
Q99260	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215	12133588358521709966320937625527500935079044631158528731359212823874186934413218519029110937256420442112
Q99258	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	208	8977706048243309616903576896324186142371479832541396003752334181503708388329519425822529474211098918912
Q99257	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	599	732881944839154356677601445318612155867040293482748232170030801639933536045877666486256042134040146602079730489073962047526316013183935774683889391646160474445425222242147918956544699997595637163031836604363785961847096571531013400298477988800617082400920333805079869481149036925449913805832192
Q99252	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	613	46881100763352472026818084596547395765349025565162059638211512076304022431007516432954379855087590671815397850165087313883775175060265309853478362387918625013988935667852236167557577782237570243577097663772239173033983864548433643737028756097912755830601236030816596314083450946254300210108321383990784595886866432
Q99248	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	730	9667851332360554026404470659015679275732116464844994053114891827256715133196129368562156555737509075548604954783185299747246873553481105003630444305921082370132629092985660198790598690488829714595549797281906015421337205768952917813600241268984329068224679997430711029229710741125160247100685454794507392012916571244338514415561795808319075069856340290568192
Q99247	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1116	922783201007755504420741722658132930092226198251627088301933447390375762039167809873020464650944957600264109485667613762272659812933996537503335972966772153548371164806383604432802682343152182137140955741613705271655521706340576191497415551843970569196051936373140710028502070866039413317079376762745579388024958243598406868841281897567258871940857687672107125067355952499573798888652028350331445294923676731031143895536936030051969912556527873043909588453310776660830938581572604636253894744887236759448834108346345593240033460696098611424223297536
Q99234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	619	31548164605428467467835196365827053580816996609309981463466540479600561384710339109364914180308270793578824178118360392624454065577361204974736249837052000664679849268220735908052990824825200063774262984425635276803348610774752076689909898708541288173946427752534141524271437351948540239073706541842432
Q99231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1755	67443063895599919649395795953016445022594286327725423927822036359842732165005403516139285822753474196970041017582308255025793334837170936769553174829366158183194542116593969498210104356704797336308392637293966027563028843239853367592405832574341157763603361358513953878240062317287948197685389813602337882238395562748300483019646923810990639060567836408922400588469095347448578936083244921558390678621501728114804698273688372721972495464904311675020908196049309851738382262000283603543230622651342955406986821008622332255982741676304741668422257661621493141180659364559609460408262156983649366185027176635455560035213964794770487926931815394543690760183709081713920816597434976813082703463215003299431872462649297038442292708139298971325298049535583842092027848155567739624468158909211183465622044978916608758565320981953340883709756836067344850146454799770451968
Q99222	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	893	117762153289529300115788277846630448880038345701915670221013758268494529882324507001479522104882512884329322282726965679859478551017036648273825505261825661431788284534644169770881093581468957393135748594707846874977500556839086334701681764475750089779706711785340486891621634318228000567199490250857041204864345489154968194558665329159766201034786934111581058677970008976073838525450503508575536119461979990331867223641033090859119501377536
Q99220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	542	286518784425422016926372733215304737411179169715772498477564332653085848139615120566359016335184296384743648137816413387440123880321225641891181304642760245452214978257370655259364560768915085104329087160277875207025985026377542339381204043092783423213797376
Q99219	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	290	15154451684337032471180877896715528289578404766894843944101258135758218479588478910835485639300034416425654688319551372515107152957800448
Q99216	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	274	220702699018824835562513336408699747107957852178493442826804456263344579172957900866780974857148234558860379034157804166477791639164980035584
Q99210	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	232	78536972510032472528672490689043980373465705575072132240825419419794440981106635937095487840398693342642176
Q99208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1374	6249401513001276724946588449294002153231059259655339280216543272977100073218093721449921688736389384655045125015742471662921325601694799091944302110729069352137608217686835148787488170641696038054102961926702794862339145374488947867605191383731160365006645434114367031901604742135421703981257434763890846149444875145463657743420780179882756636347358005927631527998704912633647635875991807866325692793701540301824759773823302244575274779343057532253150809428291643411399402656031619762289567972182610201719132487376133385357624681613669485714258177701818895318976093796945626828628797522238174882932420367820288578582739671400588830340421738719925034286044942541629789466368459112382850849046528
Q99207	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	810	15656768550516503055951463491598615924886431809760969194732365495517762288059724558193792071555101450862308372844803086782794686143522540064661133384989672879324283813147857141578189749972028010479282108675023753761224473552166310393711621169388151127752247988495909561580574659263556796133460627406936787553456809259517732486188346956110600594907595691715930663975382052503552
Q99190	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	310	20017572363820934730440985602453470259677905735610151893217243655005543509377010311601996468745850013388001057159143697755669174017617263802162610176
Q99189	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	972	821470349982958517150516418426383733534646592901807707289535867773232285904364510664661591107407603516226994914643098022806201885398316308561177533324713855641395306343266080981059050129207036134606910078548348191133303006819348330008714122217893966659533486375256399059657203037658984582941317497290079129313202383786470221347033626783905589536890693415969093097029546077948556696310262633663955967040720637995918818496962443441247150391859609469081469276908240674634917242160021504
Q99188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	309	1050682338232233222131386452301577746989973916250705652571186684963930967720180517235365590651532175502709399488169134407799563605836694942447911082917888
Q99186	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	491	195440487295005834944076514067527162349855986837455360599208915564135519257171236335824926074008746844408720883950363750573244861007805622119472880951498322328153548090111136338713022793568883415215910072409684658186496353467334078719343808479232
Q99181	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	213	2774025687819320979954489626320873556259498086684620194640880846793366926020397466627597379345317888
Q99177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	341	62675642794336835306930669830176949340601394585969773815494237830982478416108430565864715922945194806609294863798410711085103514029728326313088615064559350185984
Q99176	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	213	71095244288213144333911743899575200791478777135694504285307887639887814068827452259936196897986838528
Q96VH5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	97	486535567758324725635519049253661896090976650264576
Q96VH4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	193	527910556407208750413003095376779015825103341230576160133035357023622353441487356182443669323776
Q96VH3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	125	39041999944042378925830136485732215965876014250227338731380015104
Q96VH2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	84	16782279911358762312939840653623623155712
Q92393	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1755	4097166131657695118700794604145749035122602894409319503615188708860445979024078263605461613732273557465929991818125226492816945091358134408750355370883994109629068433583083647016263839669816438180734852715608436174454002226821092081238654328891225334138904202529722698103083785775242853009387431176342026345982530436959254343443550621517681322929496061842035835749497542357501170367057128984672233726256229982974385420126568642859829099492936934257520172909995573493106722416517228915251260326069084540974449376273806684550951556835513056356652152943505708326725056396996274719801926036756698995740400980603925272139248361282307141561107785218529213681160326714120689608294174841394774235390311450440486252105944795085369282019462412508011856509286718407090691775450740182186440653734579395536539232469183982082843249653665458685367727791091199646397129086054957056
Q92392	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440	985775878947872712937512106600412393748592363700173027283310112769863714230844359172501513650038077685646149075815000371629950765123134798296736340595298544878895861892271570437362361182071462031400028697064915337216
Q92331	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	675	375348814095205099729644261798956960226363866669433010767984716767409072599302078819996935878635828125701399403386678679331850647463028834197853571097378610258893758842754082496932975808433814955320901349816121117631284827300876741774346779237027677611537930948158256373314187015833467938085850711433446963478199336874171252604928
Q92328	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	271	8324588937929278090858636539943832678601418634158544647028279005238279194109882214204063156353778671132256603691159811562253685096448
Q92325	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	660	119165468024814245515437752105200141910596687783983656087406203203938110629427517011876664143020729647862939850586565494501791807388168264325215623233045214193429725173806317102423674886248148270254421645098153460359129355927224821377114282168113516927326335229562867760178139287931525663445227073533479366526583269547864752128
Q92317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146	16393891944503171080471777630904900412935201887727460442661393862230016
Q92316	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	86	927992949978494120856321428782771866018250752
Q8TGV0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	26	320979616137216
Q8TGU8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	32	1352605460594688
Q8TGU7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	68	214157582167272714411674959872
Q8TGU6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	64	304923588671761345324435636224
Q8TGU5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	39	28047626830891450368
Q8TGU4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	54	13249474533898474022240256
Q8TGU2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	87	55054269249212419767599147264212295762313216
Q8TGU1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	46	1795048117177052823552
Q8TGU0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	28	1925877696823296
Q8TGT9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	53	264690615166459501149683712
Q8TGT8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	28	3131031158784
Q8TGT7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	37	5916296284641165312
Q8TGT6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	29	338151365148672
Q8TGT4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	77	15347306731923879572875940241082417152
Q8TGT3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	32	1014454095446016
Q8TGT2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	49	6058287395472553279488
Q8TGT1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	49	47109242787194574301298688
Q8TGT0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	57	135521594965227264588638060544
Q8TGS9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	76	8632860036707182259742716385608859648
Q8TGS8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	64	14636332256244544575572910538752
Q8TGS7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	28	42268920643584
Q8TGS6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	29	66795331387392
Q8TGS5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	35	164341563462254592
Q8TGS4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	35	1277919997482491707392
Q8TGS2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	50	49629490343711156465565696
Q8TGS1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	66	972293381323857126723380393703112704
Q8TGS0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	48	3101843146481947279097856
Q8TGR9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	32	13695130288521216
Q8TGQ7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	33	2337302235907620864
Q8TGN9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	163	31425123528671600203125406128668644291482165215663852980159966494270954751709852460707217408
Q8TGN5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	46	33241631799575052288
Q8TGN3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	28	1391569403904
Q8TGM6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	124	95209876406748675935571129975874936054567326322761380841652224
Q8TGK6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	75	2360008112534825950257165091915822006272
Q8TGK4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	73	6145854459726109245461367426864119808
Q8TGK1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	99	68419064216014414542494866301296204137793591443456
Q8TGK0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	99	601339431586064190314896285851236169179826487296
Q8TGJ7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	56	30115909992272725464141791232
Q8TGJ3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	72	13828172534383745802288076710444269568
Q8TGJ2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	30	676302730297344
Q8TGJ1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	51	1225419514659534727544832
Q8TGJ0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	55	10719969914241609796562190336
Q8J0M4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	134	2371801496600574519744180791508232119926967865701310827931335917568
Q86ZR7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	236	56218954742906750234777794967384733534950178603749946802555395408916736509409192539733905583946342584630178025046016
Q7M4S9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	792	1498421885822737468211179557931550946919296912081404042772269974160334568829994353387301645316512154237090523801813938756057839996684602626747782677151319768848724754063293501301066447841438862759033787629145381741744004578807492686207358782049154565473332936530554079298816028776319926776067613286560137113981964896000721436585163321679706691921657073252399121592157088606999585664117144382274378860945137723244544
Q7LIF2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110	20943760841869199891833736203407641869359262481453779255296
Q7LHG5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1498	176156791574122372768251845695242215806502407962391861245506175568321935284486827739947627366814863282728498546947902509705494763722432081276753523568426236233277510892374193536869906241992314416443175886660058826984066936833044863938586986607160037194966100497863448253230054049748726005777265880482508578233687362438765359943198069569068686582029572773466426976316450288613022973705474218797054647603861517575583858537877401885716290780692540915333600907117629221756657300561413505465095726537579160980611620924070965032927339395014890366471251741705368983910021412061702052070711403551565484590206432384144402809240385217720965048369006216818911901083908597404421544289925893964525995046987390630722110870616322307058779467135638176792576
Q6WNK7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	96	3711971799913976483425285715131087464073003008
Q6Q5X2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	51	68078861925529707085824
Q6Q5P6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	413	13932124521982625250189908875257973318212880001181469453006071531492507870769444310648920834768207350012191828134875752086032576808362517271915087062732234834604563577544831632602466458496139264
Q6Q5K6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	68	1873450528799301705673332548960256
Q6Q5H1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440	2957327636843618138812536319801237181245777091100519081849930338309591142692533077517504540950114233056938447227445001114889852295369404394890209021785895634636687585676814711312087083546214386094200086091194746011648
Q6Q5F3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	151	4950789592204614850236511113917876214353455369332204353603744754378729962078208
Q6Q595	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	175	1771956615657999776836812758284817397535364716323118254859741955265683165428435296190464
Q6Q560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	94	122204832918978649660091710786208640792526848
Q6Q547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	58	406564784895681793765914181632
Q6Q546	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	73	539553752294198891233919774100553728
Q6B2U8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	126	39626038079768589811725788587225904392573059860593468061515776
Q6B0W2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109	129282474332525925258232939527207665860242360996628267008
Q45U48	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	73	221250760550139932836609227367108313088
Q45U18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	67	25291582138790573026589989410963456
Q3E846	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	104	1649765244406211770411238095613816650699112448
Q3E843	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	45	252428641478023053312
Q3E842	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	84	5701588684667867878541238858441350344816132620288
Q3E841	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	98	27029753764351373646417724958536772005054258348032
Q3E840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	82	63157640872114730752575885765771264
Q3E838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	28	5566277615616
Q3E837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	39	6058287395472553279488
Q3E835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	90	3131976206177417657890084822141855047811596288
